id,age,income,gender,marital,numkids,numcards,howpaid,mortgage,storecar,loans,risk,income1k
100756,44,59944,2,2,1,2,1,2,2,0,3,59.944
100668,35,59692,2,2,1,1,1,2,1,0,1,59.692
100416,34,59463,2,2,0,2,1,2,1,1,1,59.463
100590,39,59393,1,2,0,2,1,2,1,0,3,59.393
100702,42,59201,2,2,0,1,1,2,2,0,3,59.201
100319,31,59193,1,2,1,2,1,2,1,1,3,59.193
100666,28,59179,2,2,1,1,1,2,2,1,1,59.179
100389,30,59036,2,2,1,1,1,2,2,1,3,59.036
100758,38,58914,2,2,0,1,1,2,1,1,2,58.914
100695,36,58878,1,2,1,1,1,2,1,0,2,58.878
100769,44,58529,2,2,0,1,1,2,1,0,1,58.529
100414,34,58026,2,2,0,1,1,2,2,0,3,58.026
100354,32,57718,2,2,1,2,1,2,1,1,2,57.718
100567,38,57683,1,2,1,1,1,2,2,1,1,57.683
100728,28,57623,2,2,1,1,1,2,1,1,1,57.623
100665,41,57520,1,2,1,1,1,2,1,0,1,57.52
100730,43,57388,1,2,0,1,1,2,1,0,1,57.388
100412,34,56891,2,2,1,1,1,2,2,1,2,56.891
100374,33,56849,2,2,1,1,1,2,1,1,3,56.849
100566,38,56590,2,2,0,2,1,2,1,0,1,56.59
100421,34,56486,2,2,0,1,1,2,1,1,2,56.486
100670,41,56470,2,2,0,2,1,2,1,0,1,56.47
100379,33,56087,2,2,1,2,1,2,1,1,2,56.087
100292,30,56087,1,2,0,1,1,2,1,1,2,56.087
100294,30,55642,1,2,1,2,1,2,1,0,3,55.642
100570,38,55565,2,2,1,2,1,2,1,0,3,55.565
100425,34,55497,2,2,1,1,1,2,2,1,2,55.497
100592,39,55390,1,2,0,1,1,2,1,0,2,55.39
100601,39,55215,2,2,0,2,1,2,2,0,3,55.215
100486,36,54938,2,2,0,2,1,2,1,0,3,54.938
100348,32,54792,2,2,1,1,1,2,2,0,3,54.792
100450,35,54673,1,2,1,2,1,2,2,1,2,54.673
100629,28,54671,2,2,0,2,1,2,1,0,3,54.671
100757,44,54451,2,2,0,1,1,2,2,1,3,54.451
100488,36,54021,2,2,1,1,1,2,2,1,2,54.021
100383,33,54013,1,2,0,1,1,2,2,0,3,54.013
100770,44,53983,1,2,1,2,1,2,2,0,2,53.983
100795,45,53842,1,2,0,2,1,2,1,0,3,53.842
100597,39,53731,2,2,0,2,1,2,2,1,3,53.731
100794,45,53704,2,2,1,2,1,2,2,1,3,53.704
100755,44,53660,1,2,1,1,1,2,1,1,3,53.66
100492,36,53365,2,2,0,1,1,2,2,0,2,53.365
100694,42,53307,2,2,0,2,1,2,1,1,1,53.307
100448,35,53201,2,2,0,1,1,2,2,0,3,53.201
100384,33,53195,2,2,1,2,1,2,1,1,3,53.195
100630,40,53180,1,2,1,2,1,2,1,0,3,53.18
100381,33,53115,1,2,0,2,1,2,1,0,1,53.115
100350,32,52973,2,2,1,1,1,2,1,0,2,52.973
100352,32,52961,1,2,1,1,1,2,2,1,2,52.961
100385,33,52896,2,2,0,2,1,2,2,1,2,52.896
100325,31,52540,1,2,0,2,1,2,1,0,2,52.54
100599,39,52495,1,2,1,2,1,2,1,1,3,52.495
100603,39,52173,1,2,0,2,1,2,2,0,2,52.173
100727,36,51939,2,2,0,1,1,2,1,0,2,51.939
100671,41,51859,1,2,0,2,1,2,1,1,2,51.859
100765,44,51498,2,2,0,1,1,2,2,1,1,51.498
100797,45,51385,1,2,0,1,1,2,2,0,3,51.385
100324,31,51383,1,2,0,2,1,2,2,1,2,51.383
100662,37,50833,2,2,1,1,1,2,2,1,3,50.833
100754,44,50816,2,2,0,2,1,2,1,1,2,50.816
100621,40,50621,1,2,1,2,1,2,1,0,2,50.621
100793,45,50552,2,2,0,1,1,2,2,0,3,50.552
100493,36,50515,1,2,0,1,1,2,1,1,3,50.515
100500,36,50302,2,2,1,2,1,2,1,0,2,50.302
100322,31,50295,1,2,1,1,1,2,1,0,2,50.295
100628,40,50199,1,2,0,1,1,2,2,0,2,50.199
100529,37,50075,2,2,0,2,1,2,1,0,2,50.075
100622,35,49600,2,2,1,2,1,2,2,1,3,49.6
100605,39,49415,2,2,0,1,1,2,1,0,3,49.415
100487,36,49409,2,2,1,2,1,2,1,1,3,49.409
100604,39,49407,2,2,1,2,1,2,1,0,2,49.407
100378,33,49075,2,2,1,2,1,2,1,0,2,49.075
100382,33,49008,1,2,1,2,1,2,2,0,3,49.008
100623,28,48599,2,2,0,1,1,2,1,1,2,48.599
100388,33,48511,2,2,0,1,1,2,1,0,3,48.511
100293,30,48336,2,2,1,2,1,2,2,0,1,48.336
100527,37,48061,1,2,1,2,1,2,1,0,3,48.061
100732,43,47623,1,2,0,2,1,2,2,1,1,47.623
100422,34,47623,2,2,0,1,1,2,2,1,3,47.623
100499,36,47422,1,2,0,2,1,2,1,1,1,47.422
100798,29,47111,2,2,0,2,1,2,2,1,3,47.111
100759,44,47035,2,2,0,1,1,2,2,0,2,47.035
100456,35,47026,2,2,1,2,1,2,1,0,3,47.026
100596,39,47019,2,2,0,1,1,2,1,1,3,47.019
100706,42,46965,1,2,1,1,1,2,2,1,3,46.965
100491,36,46785,1,2,1,1,1,2,2,1,2,46.785
